"name","run.no.in.std.order","run.no","run.no.std.rp","size","temp","Blocks"
"446","36",446,"36.10","5","e",".10"
"447","16",447,"16.10","0","t",".10"
"448","35",448,"35.10","4","e",".10"
"449","19",449,"19.10","3","t",".10"
"450","6",450,"6.10","5","n",".10"
"451","34",451,"34.11","3","e",".11"
"452","6",452,"6.11","5","n",".11"
"453","10",453,"10.11","9","n",".11"
"454","5",454,"5.11","4","n",".11"
"455","32",455,"32.11","1","e",".11"
"456","1",456,"1.11","0","n",".11"
"457","27",457,"27.11","11","t",".11"
"458","25",458,"25.11","9","t",".11"
"459","35",459,"35.11","4","e",".11"
"460","20",460,"20.11","4","t",".11"
"461","44",461,"44.11","13","e",".11"
"462","18",462,"18.11","2","t",".11"
"463","23",463,"23.11","7","t",".11"
"464","12",464,"12.11","11","n",".11"
"465","11",465,"11.11","10","n",".11"
"466","17",466,"17.11","1","t",".11"
"467","36",467,"36.11","5","e",".11"
"468","7",468,"7.11","6","n",".11"
"469","14",469,"14.11","13","n",".11"
"470","37",470,"37.11","6","e",".11"
"471","21",471,"21.11","5","t",".11"
"472","15",472,"15.11","14","n",".11"
"473","38",473,"38.11","7","e",".11"
"474","22",474,"22.11","6","t",".11"
"475","8",475,"8.11","7","n",".11"
"476","13",476,"13.11","12","n",".11"
"477","42",477,"42.11","11","e",".11"
"478","16",478,"16.11","0","t",".11"
"479","31",479,"31.11","0","e",".11"
"480","3",480,"3.11","2","n",".11"
"481","33",481,"33.11","2","e",".11"
"482","2",482,"2.11","1","n",".11"
"483","41",483,"41.11","10","e",".11"
"484","29",484,"29.11","13","t",".11"
"485","9",485,"9.11","8","n",".11"
"486","39",486,"39.11","8","e",".11"
"487","4",487,"4.11","3","n",".11"
"488","30",488,"30.11","14","t",".11"
"489","45",489,"45.11","14","e",".11"
"490","28",490,"28.11","12","t",".11"
"491","40",491,"40.11","9","e",".11"
"492","26",492,"26.11","10","t",".11"
"493","24",493,"24.11","8","t",".11"
"494","43",494,"43.11","12","e",".11"
"495","19",495,"19.11","3","t",".11"
"496","28",496,"28.12","12","t",".12"
"497","15",497,"15.12","14","n",".12"
"498","2",498,"2.12","1","n",".12"
"499","18",499,"18.12","2","t",".12"
"500","7",500,"7.12","6","n",".12"
"501","42",501,"42.12","11","e",".12"
"502","37",502,"37.12","6","e",".12"
"503","45",503,"45.12","14","e",".12"
"504","27",504,"27.12","11","t",".12"
"505","43",505,"43.12","12","e",".12"
"506","12",506,"12.12","11","n",".12"
"507","40",507,"40.12","9","e",".12"
"508","33",508,"33.12","2","e",".12"
"509","39",509,"39.12","8","e",".12"
"510","25",510,"25.12","9","t",".12"
"511","38",511,"38.12","7","e",".12"
"512","6",512,"6.12","5","n",".12"
"513","13",513,"13.12","12","n",".12"
"514","5",514,"5.12","4","n",".12"
"515","14",515,"14.12","13","n",".12"
"516","16",516,"16.12","0","t",".12"
"517","22",517,"22.12","6","t",".12"
"518","17",518,"17.12","1","t",".12"
"519","9",519,"9.12","8","n",".12"
"520","3",520,"3.12","2","n",".12"
"521","31",521,"31.12","0","e",".12"
"522","4",522,"4.12","3","n",".12"
"523","23",523,"23.12","7","t",".12"
"524","44",524,"44.12","13","e",".12"
"525","8",525,"8.12","7","n",".12"
"526","29",526,"29.12","13","t",".12"
"527","32",527,"32.12","1","e",".12"
"528","21",528,"21.12","5","t",".12"
"529","1",529,"1.12","0","n",".12"
"530","11",530,"11.12","10","n",".12"
"531","26",531,"26.12","10","t",".12"
"532","19",532,"19.12","3","t",".12"
"533","35",533,"35.12","4","e",".12"
"534","34",534,"34.12","3","e",".12"
"535","24",535,"24.12","8","t",".12"
"536","36",536,"36.12","5","e",".12"
"537","41",537,"41.12","10","e",".12"
"538","30",538,"30.12","14","t",".12"
"539","10",539,"10.12","9","n",".12"
"540","20",540,"20.12","4","t",".12"
"541","22",541,"22.13","6","t",".13"
"542","13",542,"13.13","12","n",".13"
"543","32",543,"32.13","1","e",".13"
"544","25",544,"25.13","9","t",".13"
"545","30",545,"30.13","14","t",".13"
"546","31",546,"31.13","0","e",".13"
"547","23",547,"23.13","7","t",".13"
"548","27",548,"27.13","11","t",".13"
"549","11",549,"11.13","10","n",".13"
"550","6",550,"6.13","5","n",".13"
"551","1",551,"1.13","0","n",".13"
"552","18",552,"18.13","2","t",".13"
"553","29",553,"29.13","13","t",".13"
"554","19",554,"19.13","3","t",".13"
"555","42",555,"42.13","11","e",".13"
"556","38",556,"38.13","7","e",".13"
"557","44",557,"44.13","13","e",".13"
"558","28",558,"28.13","12","t",".13"
"559","39",559,"39.13","8","e",".13"
"560","3",560,"3.13","2","n",".13"
"561","21",561,"21.13","5","t",".13"
"562","16",562,"16.13","0","t",".13"
"563","43",563,"43.13","12","e",".13"
"564","10",564,"10.13","9","n",".13"
"565","17",565,"17.13","1","t",".13"
"566","8",566,"8.13","7","n",".13"
"567","14",567,"14.13","13","n",".13"
"568","36",568,"36.13","5","e",".13"
"569","37",569,"37.13","6","e",".13"
"570","4",570,"4.13","3","n",".13"
"571","40",571,"40.13","9","e",".13"
"572","34",572,"34.13","3","e",".13"
"573","41",573,"41.13","10","e",".13"
"574","7",574,"7.13","6","n",".13"
"575","20",575,"20.13","4","t",".13"
"576","2",576,"2.13","1","n",".13"
"577","12",577,"12.13","11","n",".13"
"578","26",578,"26.13","10","t",".13"
"579","35",579,"35.13","4","e",".13"
"580","33",580,"33.13","2","e",".13"
"581","9",581,"9.13","8","n",".13"
"582","5",582,"5.13","4","n",".13"
"583","45",583,"45.13","14","e",".13"
"584","24",584,"24.13","8","t",".13"
"585","15",585,"15.13","14","n",".13"
"586","13",586,"13.14","12","n",".14"
"587","41",587,"41.14","10","e",".14"
"588","11",588,"11.14","10","n",".14"
"589","2",589,"2.14","1","n",".14"
"590","25",590,"25.14","9","t",".14"
"591","16",591,"16.14","0","t",".14"
"592","8",592,"8.14","7","n",".14"
"593","42",593,"42.14","11","e",".14"
"594","40",594,"40.14","9","e",".14"
"595","10",595,"10.14","9","n",".14"
"596","21",596,"21.14","5","t",".14"
"597","6",597,"6.14","5","n",".14"
"598","27",598,"27.14","11","t",".14"
"599","34",599,"34.14","3","e",".14"
"600","29",600,"29.14","13","t",".14"
"601","3",601,"3.14","2","n",".14"
"602","7",602,"7.14","6","n",".14"
"603","45",603,"45.14","14","e",".14"
"604","39",604,"39.14","8","e",".14"
"605","24",605,"24.14","8","t",".14"
"606","4",606,"4.14","3","n",".14"
"607","38",607,"38.14","7","e",".14"
"608","12",608,"12.14","11","n",".14"
"609","20",609,"20.14","4","t",".14"
"610","43",610,"43.14","12","e",".14"
"611","1",611,"1.14","0","n",".14"
"612","18",612,"18.14","2","t",".14"
"613","9",613,"9.14","8","n",".14"
"614","19",614,"19.14","3","t",".14"
"615","36",615,"36.14","5","e",".14"
"616","14",616,"14.14","13","n",".14"
"617","31",617,"31.14","0","e",".14"
"618","30",618,"30.14","14","t",".14"
"619","33",619,"33.14","2","e",".14"
"620","35",620,"35.14","4","e",".14"
"621","23",621,"23.14","7","t",".14"
"622","15",622,"15.14","14","n",".14"
"623","37",623,"37.14","6","e",".14"
"624","17",624,"17.14","1","t",".14"
"625","32",625,"32.14","1","e",".14"
"626","5",626,"5.14","4","n",".14"
"627","44",627,"44.14","13","e",".14"
"628","22",628,"22.14","6","t",".14"
"629","26",629,"26.14","10","t",".14"
"630","28",630,"28.14","12","t",".14"
"631","2",631,"2.15","1","n",".15"
"632","45",632,"45.15","14","e",".15"
"633","23",633,"23.15","7","t",".15"
"634","41",634,"41.15","10","e",".15"
"635","30",635,"30.15","14","t",".15"
"636","13",636,"13.15","12","n",".15"
"637","39",637,"39.15","8","e",".15"
"638","21",638,"21.15","5","t",".15"
"639","35",639,"35.15","4","e",".15"
"640","6",640,"6.15","5","n",".15"
"641","8",641,"8.15","7","n",".15"
"642","37",642,"37.15","6","e",".15"
"643","42",643,"42.15","11","e",".15"
"644","19",644,"19.15","3","t",".15"
"645","32",645,"32.15","1","e",".15"
"646","9",646,"9.15","8","n",".15"
"647","4",647,"4.15","3","n",".15"
"648","29",648,"29.15","13","t",".15"
"649","22",649,"22.15","6","t",".15"
"650","36",650,"36.15","5","e",".15"
"651","11",651,"11.15","10","n",".15"
"652","31",652,"31.15","0","e",".15"
"653","7",653,"7.15","6","n",".15"
"654","24",654,"24.15","8","t",".15"
"655","26",655,"26.15","10","t",".15"
"656","34",656,"34.15","3","e",".15"
"657","14",657,"14.15","13","n",".15"
"658","28",658,"28.15","12","t",".15"
"659","15",659,"15.15","14","n",".15"
"660","40",660,"40.15","9","e",".15"
"661","3",661,"3.15","2","n",".15"
"662","25",662,"25.15","9","t",".15"
"663","38",663,"38.15","7","e",".15"
"664","18",664,"18.15","2","t",".15"
"665","20",665,"20.15","4","t",".15"
"666","27",666,"27.15","11","t",".15"
"667","10",667,"10.15","9","n",".15"
"668","17",668,"17.15","1","t",".15"
"669","12",669,"12.15","11","n",".15"
"670","1",670,"1.15","0","n",".15"
"671","43",671,"43.15","12","e",".15"
"672","44",672,"44.15","13","e",".15"
"673","16",673,"16.15","0","t",".15"
"674","33",674,"33.15","2","e",".15"
"675","5",675,"5.15","4","n",".15"
"676","38",676,"38.16","7","e",".16"
"677","7",677,"7.16","6","n",".16"
"678","20",678,"20.16","4","t",".16"
"679","26",679,"26.16","10","t",".16"
"680","8",680,"8.16","7","n",".16"
"681","23",681,"23.16","7","t",".16"
"682","25",682,"25.16","9","t",".16"
"683","21",683,"21.16","5","t",".16"
"684","12",684,"12.16","11","n",".16"
"685","39",685,"39.16","8","e",".16"
"686","30",686,"30.16","14","t",".16"
"687","29",687,"29.16","13","t",".16"
"688","31",688,"31.16","0","e",".16"
"689","44",689,"44.16","13","e",".16"
"690","37",690,"37.16","6","e",".16"
"691","43",691,"43.16","12","e",".16"
"692","24",692,"24.16","8","t",".16"
