"counter","size","memtype","temp","opt","value"
PAPI_TOT_CYC,small,wb,t,O2.4,3161947837
PAPI_TOT_CYC,small,wb,nt,O2.4,3391545552
PAPI_TOT_CYC,small,wc,t,O2.4,272802728072
PAPI_TOT_CYC,small,wc,nt,O2.4,15907084433
PAPI_TOT_CYC,small,unc,t,O2.4,271902786877
PAPI_TOT_CYC,small,unc,nt,O2.4,271793516716
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,t,O2.4,913238770
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,nt,O2.4,874950720
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,t,O2.4,542296
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,nt,O2.4,123475
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,t,O2.4,633890
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,nt,O2.4,399430
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,t,O2.4,916593483
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wb,nt,O2.4,893794298
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,t,O2.4,561515
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,wc,nt,O2.4,92589
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,t,O2.4,357067
CYCLE_ACTIVITY:STALLS_L1D_PENDING,small,unc,nt,O2.4,514380
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,t,O2.4,917468146
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,nt,O2.4,902624463
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,t,O2.4,269099675975
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,nt,O2.4,12693666167
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,t,O2.4,269335653267
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,nt,O2.4,267784924280
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,t,O2.4,915469567
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wb,nt,O2.4,899973917
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,t,O2.4,268312215738
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,wc,nt,O2.4,12684415712
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,t,O2.4,268185849923
CYCLE_ACTIVITY:STALLS_LDM_PENDING,small,unc,nt,O2.4,267875082771
L1-DCACHE-LOADS,small,wb,t,O2.4,1310721890
L1-DCACHE-LOADS,small,wb,nt,O2.4,1310722002
L1-DCACHE-LOADS,small,wc,t,O2.4,1310800290
L1-DCACHE-LOADS,small,wc,nt,O2.4,1310724784
L1-DCACHE-LOADS,small,unc,t,O2.4,1310800215
L1-DCACHE-LOADS,small,unc,nt,O2.4,1310800149
L1-DCACHE-LOADS,small,wb,t,O2.4,1310721820
L1-DCACHE-LOADS,small,wb,nt,O2.4,1310721967
L1-DCACHE-LOADS,small,wc,t,O2.4,1310800112
L1-DCACHE-LOADS,small,wc,nt,O2.4,1310724753
L1-DCACHE-LOADS,small,unc,t,O2.4,1310800338
L1-DCACHE-LOADS,small,unc,nt,O2.4,1310802896
L1-DCACHE-LOAD-MISSES,small,wb,t,O2.4,655469928
L1-DCACHE-LOAD-MISSES,small,wb,nt,O2.4,655480666
L1-DCACHE-LOAD-MISSES,small,wc,t,O2.4,78899
L1-DCACHE-LOAD-MISSES,small,wc,nt,O2.4,14598
L1-DCACHE-LOAD-MISSES,small,unc,t,O2.4,76237
L1-DCACHE-LOAD-MISSES,small,unc,nt,O2.4,43995
L1-DCACHE-LOAD-MISSES,small,wb,t,O2.4,655468543
L1-DCACHE-LOAD-MISSES,small,wb,nt,O2.4,655484505
L1-DCACHE-LOAD-MISSES,small,wc,t,O2.4,66917
L1-DCACHE-LOAD-MISSES,small,wc,nt,O2.4,14556
L1-DCACHE-LOAD-MISSES,small,unc,t,O2.4,109617
L1-DCACHE-LOAD-MISSES,small,unc,nt,O2.4,89892
PAPI_L2_DCM,small,wb,t,O2.4,655471112
PAPI_L2_DCM,small,wb,nt,O2.4,655482288
PAPI_L2_DCM,small,wc,t,O2.4,1662
PAPI_L2_DCM,small,wc,nt,O2.4,677
PAPI_L2_DCM,small,unc,t,O2.4,2372
PAPI_L2_DCM,small,unc,nt,O2.4,1452
PAPI_L2_DCM,small,wb,t,O2.4,655469225
PAPI_L2_DCM,small,wb,nt,O2.4,655481456
PAPI_L2_DCM,small,wc,t,O2.4,803
PAPI_L2_DCM,small,wc,nt,O2.4,636
PAPI_L2_DCM,small,unc,t,O2.4,1426
PAPI_L2_DCM,small,unc,nt,O2.4,2284
PAPI_L2_DCR,small,wb,t,O2.4,655468541
PAPI_L2_DCR,small,wb,nt,O2.4,655480328
PAPI_L2_DCR,small,wc,t,O2.4,48305
PAPI_L2_DCR,small,wc,nt,O2.4,13258
PAPI_L2_DCR,small,unc,t,O2.4,66312
PAPI_L2_DCR,small,unc,nt,O2.4,91405
PAPI_L2_DCR,small,wb,t,O2.4,655469918
PAPI_L2_DCR,small,wb,nt,O2.4,655482441
PAPI_L2_DCR,small,wc,t,O2.4,87289
PAPI_L2_DCR,small,wc,nt,O2.4,12188
PAPI_L2_DCR,small,unc,t,O2.4,70148
PAPI_L2_DCR,small,unc,nt,O2.4,79733
PAPI_L3_TCM,small,wb,t,O2.4,210403
PAPI_L3_TCM,small,wb,nt,O2.4,103245
PAPI_L3_TCM,small,wc,t,O2.4,614
