"counter","size","memtype","temp","opt","value"
L1-DCACHE-LOAD-MISSES,small,unc,nt,O2,428907
L1-DCACHE-LOAD-MISSES,small,unc,nt,O2.double,410491
L1-DCACHE-LOAD-MISSES,small,unc,nt,O2.stride,607745
PAPI_L2_DCM,huge,wb,t,O2,985004040
PAPI_L2_DCM,huge,wb,t,O2.double,985004844
PAPI_L2_DCM,huge,wb,t,O2.stride,1970009066
PAPI_L2_DCM,huge,wb,nt,O2,985004592
PAPI_L2_DCM,huge,wb,nt,O2.double,985003745
PAPI_L2_DCM,huge,wb,nt,O2.stride,1970008034
PAPI_L2_DCM,huge,wc,t,O2,1924135
PAPI_L2_DCM,huge,wc,t,O2.double,1924215
PAPI_L2_DCM,huge,wc,t,O2.stride,3847507
PAPI_L2_DCM,huge,wc,nt,O2,1920859
PAPI_L2_DCM,huge,wc,nt,O2.double,1920518
PAPI_L2_DCM,huge,wc,nt,O2.stride,3841008
PAPI_L2_DCM,huge,unc,t,O2,1923907
PAPI_L2_DCM,huge,unc,t,O2.double,1924175
PAPI_L2_DCM,huge,unc,t,O2.stride,3846943
PAPI_L2_DCM,huge,unc,nt,O2,1923855
PAPI_L2_DCM,huge,unc,nt,O2.double,1924116
PAPI_L2_DCM,huge,unc,nt,O2.stride,3847246
PAPI_L2_DCM,small,wb,t,O2,984975275
PAPI_L2_DCM,small,wb,t,O2.double,984975482
PAPI_L2_DCM,small,wb,t,O2.stride,1969951140
PAPI_L2_DCM,small,wb,nt,O2,984975608
PAPI_L2_DCM,small,wb,nt,O2.double,984974695
PAPI_L2_DCM,small,wb,nt,O2.stride,1969950130
PAPI_L2_DCM,small,wc,t,O2,1045
PAPI_L2_DCM,small,wc,t,O2.double,2058
PAPI_L2_DCM,small,wc,t,O2.stride,2454
PAPI_L2_DCM,small,wc,nt,O2,452
PAPI_L2_DCM,small,wc,nt,O2.double,462
PAPI_L2_DCM,small,wc,nt,O2.stride,1310
PAPI_L2_DCM,small,unc,t,O2,1375
PAPI_L2_DCM,small,unc,t,O2.double,1603
PAPI_L2_DCM,small,unc,t,O2.stride,2382
PAPI_L2_DCM,small,unc,nt,O2,1370
PAPI_L2_DCM,small,unc,nt,O2.double,4444
PAPI_L2_DCM,small,unc,nt,O2.stride,4186
PAPI_L2_DCR,huge,wb,t,O2,985106978
PAPI_L2_DCR,huge,wb,t,O2.double,985105033
PAPI_L2_DCR,huge,wb,t,O2.stride,1970288607
PAPI_L2_DCR,huge,wb,nt,O2,985105761
PAPI_L2_DCR,huge,wb,nt,O2.double,985109015
PAPI_L2_DCR,huge,wb,nt,O2.stride,1970229101
PAPI_L2_DCR,huge,wc,t,O2,1955912
PAPI_L2_DCR,huge,wc,t,O2.double,1929960
PAPI_L2_DCR,huge,wc,t,O2.stride,3966759
PAPI_L2_DCR,huge,wc,nt,O2,1938066
PAPI_L2_DCR,huge,wc,nt,O2.double,1937500
PAPI_L2_DCR,huge,wc,nt,O2.stride,3877735
PAPI_L2_DCR,huge,unc,t,O2,1927356
PAPI_L2_DCR,huge,unc,t,O2.double,1926612
PAPI_L2_DCR,huge,unc,t,O2.stride,3967726
PAPI_L2_DCR,huge,unc,nt,O2,1927473
PAPI_L2_DCR,huge,unc,nt,O2.double,1926177
PAPI_L2_DCR,huge,unc,nt,O2.stride,3971049
PAPI_L2_DCR,small,wb,t,O2,984981609
PAPI_L2_DCR,small,wb,t,O2.double,984980380
PAPI_L2_DCR,small,wb,t,O2.stride,1969960694
PAPI_L2_DCR,small,wb,nt,O2,984978251
PAPI_L2_DCR,small,wb,nt,O2.double,984979731
PAPI_L2_DCR,small,wb,nt,O2.stride,1969962817
PAPI_L2_DCR,small,wc,t,O2,499319
PAPI_L2_DCR,small,wc,t,O2.double,438447
PAPI_L2_DCR,small,wc,t,O2.stride,709163
PAPI_L2_DCR,small,wc,nt,O2,35197
PAPI_L2_DCR,small,wc,nt,O2.double,45351
PAPI_L2_DCR,small,wc,nt,O2.stride,67032
PAPI_L2_DCR,small,unc,t,O2,448431
PAPI_L2_DCR,small,unc,t,O2.double,455032
PAPI_L2_DCR,small,unc,t,O2.stride,606397
PAPI_L2_DCR,small,unc,nt,O2,410138
PAPI_L2_DCR,small,unc,nt,O2.double,480590
PAPI_L2_DCR,small,unc,nt,O2.stride,517364
PAPI_L3_TCM,huge,wb,t,O2,984986328
PAPI_L3_TCM,huge,wb,t,O2.double,984981404
PAPI_L3_TCM,huge,wb,t,O2.stride,1969963308
PAPI_L3_TCM,huge,wb,nt,O2,984981544
PAPI_L3_TCM,huge,wb,nt,O2.double,984987853
PAPI_L3_TCM,huge,wb,nt,O2.stride,1969963943
PAPI_L3_TCM,huge,wc,t,O2,155812
PAPI_L3_TCM,huge,wc,t,O2.double,153817
PAPI_L3_TCM,huge,wc,t,O2.stride,142792
PAPI_L3_TCM,huge,wc,nt,O2,2926
PAPI_L3_TCM,huge,wc,nt,O2.double,2570
PAPI_L3_TCM,huge,wc,nt,O2.stride,52037
PAPI_L3_TCM,huge,unc,t,O2,154368
PAPI_L3_TCM,huge,unc,t,O2.double,156839
PAPI_L3_TCM,huge,unc,t,O2.stride,140075
PAPI_L3_TCM,huge,unc,nt,O2,156710
PAPI_L3_TCM,huge,unc,nt,O2.double,105915
PAPI_L3_TCM,huge,unc,nt,O2.stride,144345
PAPI_L3_TCM,small,wb,t,O2,174113122
PAPI_L3_TCM,small,wb,t,O2.double,161435011
PAPI_L3_TCM,small,wb,t,O2.stride,323198883
PAPI_L3_TCM,small,wb,nt,O2,127217526
PAPI_L3_TCM,small,wb,nt,O2.double,162965680
PAPI_L3_TCM,small,wb,nt,O2.stride,344775403
PAPI_L3_TCM,small,wc,t,O2,1390
PAPI_L3_TCM,small,wc,t,O2.double,544
PAPI_L3_TCM,small,wc,t,O2.stride,574
PAPI_L3_TCM,small,wc,nt,O2,291
PAPI_L3_TCM,small,wc,nt,O2.double,31
PAPI_L3_TCM,small,wc,nt,O2.stride,41
PAPI_L3_TCM,small,unc,t,O2,559
PAPI_L3_TCM,small,unc,t,O2.double,549
PAPI_L3_TCM,small,unc,t,O2.stride,714
PAPI_L3_TCM,small,unc,nt,O2,501
PAPI_L3_TCM,small,unc,nt,O2.double,445
PAPI_L3_TCM,small,unc,nt,O2.stride,477
PAPI_L3_TCR,huge,wb,t,O2,985014316
PAPI_L3_TCR,huge,wb,t,O2.double,985009282
PAPI_L3_TCR,huge,wb,t,O2.stride,1970018385
PAPI_L3_TCR,huge,wb,nt,O2,985010018
PAPI_L3_TCR,huge,wb,nt,O2.double,985009384
PAPI_L3_TCR,huge,wb,nt,O2.stride,1970018997
PAPI_L3_TCR,huge,wc,t,O2,1924718
PAPI_L3_TCR,huge,wc,t,O2.double,1924329
PAPI_L3_TCR,huge,wc,t,O2.stride,3847537
PAPI_L3_TCR,huge,wc,nt,O2,1920680
PAPI_L3_TCR,huge,wc,nt,O2.double,1920653
PAPI_L3_TCR,huge,wc,nt,O2.stride,3840105
PAPI_L3_TCR,huge,unc,t,O2,1924241
PAPI_L3_TCR,huge,unc,t,O2.double,1924527
PAPI_L3_TCR,huge,unc,t,O2.stride,3847412
PAPI_L3_TCR,huge,unc,nt,O2,1924283
PAPI_L3_TCR,huge,unc,nt,O2.double,1924748
PAPI_L3_TCR,huge,unc,nt,O2.stride,3847847
PAPI_L3_TCR,small,wb,t,O2,984976914
PAPI_L3_TCR,small,wb,t,O2.double,984976735
PAPI_L3_TCR,small,wb,t,O2.stride,1969953344
PAPI_L3_TCR,small,wb,nt,O2,984977590
PAPI_L3_TCR,small,wb,nt,O2.double,984978228
PAPI_L3_TCR,small,wb,nt,O2.stride,1969954449
PAPI_L3_TCR,small,wc,t,O2,2512
PAPI_L3_TCR,small,wc,t,O2.double,2267
PAPI_L3_TCR,small,wc,t,O2.stride,2406
PAPI_L3_TCR,small,wc,nt,O2,487
PAPI_L3_TCR,small,wc,nt,O2.double,513
PAPI_L3_TCR,small,wc,nt,O2.stride,576
PAPI_L3_TCR,small,unc,t,O2,2101
PAPI_L3_TCR,small,unc,t,O2.double,3126
PAPI_L3_TCR,small,unc,t,O2.stride,2143
PAPI_L3_TCR,small,unc,nt,O2,1529
PAPI_L3_TCR,small,unc,nt,O2.double,1429
PAPI_L3_TCR,small,unc,nt,O2.stride,2537
MEM_UOPS_RETIRED:ALL_LOADS,huge,wb,t,O2,1966090206
MEM_UOPS_RETIRED:ALL_LOADS,huge,wb,t,O2.double,1966090199
MEM_UOPS_RETIRED:ALL_LOADS,huge,wb,t,O2.stride,1966100174
MEM_UOPS_RETIRED:ALL_LOADS,huge,wb,nt,O2,1966090500
MEM_UOPS_RETIRED:ALL_LOADS,huge,wb,nt,O2.double,1966090213
MEM_UOPS_RETIRED:ALL_LOADS,huge,wb,nt,O2.stride,1966100272
MEM_UOPS_RETIRED:ALL_LOADS,huge,wc,t,O2,1966203009
MEM_UOPS_RETIRED:ALL_LOADS,huge,wc,t,O2.double,1966202691
MEM_UOPS_RETIRED:ALL_LOADS,huge,wc,t,O2.stride,1966208720
MEM_UOPS_RETIRED:ALL_LOADS,huge,wc,nt,O2,1966092335
MEM_UOPS_RETIRED:ALL_LOADS,huge,wc,nt,O2.double,1966091866
MEM_UOPS_RETIRED:ALL_LOADS,huge,wc,nt,O2.stride,1966105978
MEM_UOPS_RETIRED:ALL_LOADS,huge,unc,t,O2,1966202467
MEM_UOPS_RETIRED:ALL_LOADS,huge,unc,t,O2.double,1966202649
MEM_UOPS_RETIRED:ALL_LOADS,huge,unc,t,O2.stride,1966211689
MEM_UOPS_RETIRED:ALL_LOADS,huge,unc,nt,O2,1966202541
MEM_UOPS_RETIRED:ALL_LOADS,huge,unc,nt,O2.double,1966200842
MEM_UOPS_RETIRED:ALL_LOADS,huge,unc,nt,O2.stride,1966209517
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,t,O2,1966083031
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,t,O2.double,1966083143
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,t,O2.stride,1966085684
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,nt,O2,1966083269
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,nt,O2.double,1966083759
MEM_UOPS_RETIRED:ALL_LOADS,small,wb,nt,O2.stride,1966085775
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,t,O2,1966202273
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,t,O2.double,1966202293
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,t,O2.stride,1966208866
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,nt,O2,1966087349
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,nt,O2.double,1966087941
MEM_UOPS_RETIRED:ALL_LOADS,small,wc,nt,O2.stride,1966098766
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,t,O2,1966202393
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,t,O2.double,1966202468
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,t,O2.stride,1966208777
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,nt,O2,1966202277
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,nt,O2.double,1966200700
MEM_UOPS_RETIRED:ALL_LOADS,small,unc,nt,O2.stride,1966209045
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wb,t,O2,985014607
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wb,t,O2.double,985009348
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wb,t,O2.stride,1970018476
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wb,nt,O2,985040077
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wb,nt,O2.double,985050785
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wb,nt,O2.stride,1970019373
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wc,t,O2,1968004315
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wc,t,O2.double,1968004318
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wc,t,O2.stride,1969927473
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wc,nt,O2,1136111675
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wc,nt,O2.double,1142178712
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,wc,nt,O2.stride,1969973333
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,unc,t,O2,1968004408
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,unc,t,O2.double,1968004311
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,unc,t,O2.stride,1969927566
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,unc,nt,O2,1968004308
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,unc,nt,O2.double,1968004541
OFFCORE_RESPONSE_0:ANY_REQUEST,huge,unc,nt,O2.stride,1969927543
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,t,O2,984976115
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,t,O2.double,984975028
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,t,O2.stride,1969949508
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,nt,O2,984978825
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,nt,O2.double,984975557
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wb,nt,O2.stride,1969951169
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,t,O2,1966082643
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,t,O2.double,1966082041
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,t,O2.stride,1966081932
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,nt,O2,1134135944
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,nt,O2.double,1139905477
OFFCORE_RESPONSE_0:ANY_REQUEST,small,wc,nt,O2.stride,1966134090
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,t,O2,1966082672
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,t,O2.double,1966084763
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,t,O2.stride,1966081923
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,nt,O2,1966081712
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,nt,O2.double,1966081591
OFFCORE_RESPONSE_0:ANY_REQUEST,small,unc,nt,O2.stride,1966082793
