"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"699","88",699,"88.6","8","6","tt",".6"
"704","82",704,"82.6","6","5","tt",".6"
"705","98",705,"98.6","6","9","tt",".6"
"711","100",711,"100.6","8","9","tt",".6"
"712","102",712,"102.6","6","10","tt",".6"
"713","75",713,"75.6","7","3","tt",".6"
"714","76",714,"76.6","8","3","tt",".6"
"715","89",715,"89.6","5","7","tt",".6"
"716","70",716,"70.6","6","2","tt",".6"
"717","83",717,"83.6","7","5","tt",".6"
"719","80",719,"80.6","8","4","tt",".6"
"721","68",721,"68.7","8","1","tt",".7"
"723","79",723,"79.7","7","4","tt",".7"
"726","82",726,"82.7","6","5","tt",".7"
"729","104",729,"104.7","8","10","tt",".7"
"730","96",730,"96.7","8","8","tt",".7"
"734","90",734,"90.7","6","7","tt",".7"
"735","89",735,"89.7","5","7","tt",".7"
"738","86",738,"86.7","6","6","tt",".7"
"739","78",739,"78.7","6","4","tt",".7"
"740","116",740,"116.7","8","13","tt",".7"
"741","109",741,"109.7","5","12","tt",".7"
"742","92",742,"92.7","8","7","tt",".7"
"743","111",743,"111.7","7","12","tt",".7"
"746","108",746,"108.7","8","11","tt",".7"
"748","107",748,"107.7","7","11","tt",".7"
"749","64",749,"64.7","8","0","tt",".7"
"750","94",750,"94.7","6","8","tt",".7"
"751","65",751,"65.7","5","1","tt",".7"
"753","113",753,"113.7","5","13","tt",".7"
"754","74",754,"74.7","6","3","tt",".7"
"758","112",758,"112.7","8","12","tt",".7"
"759","71",759,"71.7","7","2","tt",".7"
"763","119",763,"119.7","7","14","tt",".7"
"768","103",768,"103.7","7","10","tt",".7"
"771","117",771,"117.7","5","14","tt",".7"
"773","61",773,"61.7","5","0","tt",".7"
"775","97",775,"97.7","5","9","tt",".7"
"777","105",777,"105.7","5","11","tt",".7"
"778","80",778,"80.7","8","4","tt",".7"
"780","88",780,"88.7","8","6","tt",".7"
"783","91",783,"91.7","7","7","tt",".7"
"784","98",784,"98.7","6","9","tt",".7"
"785","118",785,"118.7","6","14","tt",".7"
"786","100",786,"100.7","8","9","tt",".7"
"787","72",787,"72.7","8","2","tt",".7"
"788","110",788,"110.7","6","12","tt",".7"
"791","101",791,"101.7","5","10","tt",".7"
"793","70",793,"70.7","6","2","tt",".7"
"795","115",795,"115.7","7","13","tt",".7"
"800","69",800,"69.7","5","2","tt",".7"
