"sizea","temp","Blocks","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
131072,16,tt,4962725845,252194065,250035376,9963,313,291
5120,16,nt,23465302360,485,83,8466,315,289
8192,16,tt,4015378103,577195473,76907445,7513,307,288
262144,16,tt,4998218111,252194079,252184571,9416,307,288
7168,16,tt,3690226008,591001704,52180755,8216,301,287
2048,16,tt,4990344679,1047364537,164384,7933,305,292
65536,16,tt,4729284432,252192516,235351323,7894,311,287
5120,16,tt,4578566762,913894093,13711918,8106,305,286
7168,16,nt,15179414285,1406,1048,8657,312,286
2048,16,nt,27268471844,179,24,8753,315,293
262144,16,nt,6392280798,485670,23087,8590,310,291
4096,16,nt,26768019420,597,285,8706,304,291
32768,16,nt,7437018733,3529,423,9637,344,294
131072,16,nt,6408368472,95373,11480,8757,319,289
6144,16,nt,19162968726,725,373,9143,319,291
12288,16,tt,4932347118,457035405,178830848,7822,304,290
3072,16,nt,27038323883,498,231,7745,303,280
32768,16,nt,7451454212,4294,2843,8546,313,289
8192,16,nt,14917618807,620,52,8202,310,290
2048,16,tt,4991207058,1047364571,200850,8388,306,291
524288,16,nt,6382173325,489265,90389,8445,313,298
12288,16,tt,4931515804,457032731,179148768,7863,310,287
7168,16,tt,3613135316,591001370,48225520,8046,319,287
7168,16,nt,15289578102,1016,636,8944,310,296
262144,16,tt,4995455844,252191336,252182274,9227,316,282
12288,16,nt,11766197811,1059,568,8909,322,289
16384,16,tt,4909421035,371674200,206415520,7686,306,287
32768,16,tt,4912892574,290531929,234156263,8390,312,292
8192,16,tt,4055986209,577196614,78940975,7746,307,291
4096,16,nt,26623504849,687,264,9380,323,287
16384,16,nt,9564455437,792,270,8422,316,289
524288,16,tt,4990050579,252185618,252179531,10504,321,290
262144,16,nt,6392458532,481105,13274,7988,308,290
6144,16,nt,19135037484,819,315,9230,317,291
5120,16,nt,23598663664,786,413,7859,331,299
4096,16,tt,4878842634,1023246703,327926,7653,314,289
131072,16,tt,4962172727,252193970,250057286,11608,380,356
2048,16,nt,27406631714,265,43,8535,315,292
3072,16,tt,4914337848,1031259188,202392,8587,306,279
6144,16,tt,3950561292,740307490,24646243,8379,305,286
5120,16,tt,4521623159,913894355,9901774,8541,293,280
65536,16,nt,6435039933,12418,7553,8779,317,291
131072,16,nt,6409167481,183358,1775,8852,315,288
65536,16,tt,4733883566,252189709,235365087,9681,317,287
6144,16,tt,3900173373,740307471,22040023,8853,309,285
8192,16,tt,3936115586,577195952,71086072,8080,312,292
2048,16,nt,27471200281,217,17,8869,311,292
524288,16,nt,6382632698,488590,56712,9706,317,290
8192,16,nt,14914956678,1848,1515,7740,318,290
4096,16,nt,26772086650,557,131,8572,310,287
5120,16,nt,23468166609,667,149,8328,305,287
16384,16,tt,4919118274,371676519,206401814,8269,313,292
32768,16,nt,7443891870,4213,2744,8979,318,292
262144,16,tt,4996395343,252195630,252186905,9165,312,295
262144,16,nt,6392408660,484965,21645,9378,311,294
5120,16,tt,4976486527,913894363,39070311,7882,314,287
7168,16,nt,15223897736,609,221,9327,311,291
