"sizea","temp","Blocks","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
5120,16,tt,4773320267,913894305,26156406,7780,326,299
7168,16,nt,15225460092,412,146,8936,310,287
2048,16,nt,27375000184,328,259,8943,318,291
262144,16,nt,6393911942,481711,29571,10466,310,288
4096,16,nt,26885612788,874,464,8186,314,290
32768,16,nt,7437216598,3397,1237,8757,315,294
131072,16,nt,6409605869,155185,5797,9181,307,292
6144,16,nt,19201016263,958,557,9274,309,289
12288,16,tt,5004793012,457033567,179493060,8188,321,288
3072,16,nt,27147147353,386,100,9126,306,288
32768,16,nt,7452376623,3761,2351,8647,304,291
8192,16,nt,14961787443,1473,1071,9233,313,287
2048,16,tt,4991369016,1047364526,208876,7188,321,284
524288,16,nt,6382558880,490407,58686,8533,299,284
12288,16,tt,5041260818,457034417,180578688,8373,314,291
7168,16,tt,3510031385,591004358,41121552,7618,321,295
7168,16,nt,15319994848,766,519,8506,314,291
262144,16,tt,4997670317,252195024,252185360,9942,314,287
12288,16,nt,11789876891,1958,1616,9218,314,293
16384,16,tt,4987093605,371673590,206547882,8000,313,291
32768,16,tt,4974141559,290524431,234111760,8673,312,294
8192,16,tt,4051294931,577197494,79264608,8007,317,294
4096,16,nt,26784432512,577,243,8358,320,290
16384,16,nt,9574418431,1375,876,9718,313,285
524288,16,tt,4993474056,252183670,252177771,9600,317,290
262144,16,nt,6394201487,486755,15542,9004,310,296
6144,16,nt,19158950965,496,238,8172,314,292
5120,16,nt,23526234080,1084,764,8375,316,294
4096,16,tt,4879405027,1023249511,342664,8589,310,284
131072,16,tt,4969312211,252196125,250036639,9660,325,307
2048,16,nt,27361609590,310,85,9222,311,288
3072,16,tt,4913986110,1031261729,178586,7905,307,285
6144,16,tt,3893043885,740307467,20795642,7933,315,289
5120,16,tt,4646475032,913894365,16354677,8426,318,286
65536,16,nt,6433165219,3657,672,8625,310,287
131072,16,nt,6407995807,183670,5136,9072,305,288
65536,16,tt,4761326137,252188462,235315517,8273,326,289
6144,16,tt,4861065245,740308298,83605494,7768,312,291
8192,16,tt,4124429140,577197254,82808738,8523,318,292
2048,16,nt,27361765157,199,37,9076,339,290
524288,16,nt,6381413643,490948,99880,9005,313,290
8192,16,nt,14898064535,801,347,8754,312,285
4096,16,nt,26868018901,565,162,8937,306,284
5120,16,nt,23564357602,871,237,7829,305,282
16384,16,tt,4989016193,371676383,206872313,7400,307,288
32768,16,nt,7436085899,6562,5549,8263,325,300
262144,16,tt,4998535281,252191350,252183490,8691,323,290
262144,16,nt,6392607001,486650,15221,9207,309,288
5120,16,tt,4556179420,913894049,12442161,8311,307,292
7168,16,nt,15276586406,702,399,8481,313,290
65536,16,tt,4762724066,252186848,235333495,9849,319,285
12288,16,tt,5035392740,457035885,179891379,8629,326,293
3072,16,tt,4913796404,1031259192,171865,8733,314,290
16384,16,nt,9561996703,812,230,9220,315,287
4096,16,tt,5145022734,1023252015,17256936,7423,304,285
32768,16,tt,4971798522,290526830,234163096,8147,309,293
131072,16,tt,4968255830,252194433,250043200,8705,319,294
12288,16,nt,11751920404,3106,2813,7478,312,288
6144,16,nt,18988957497,1293,980,10014,313,289
524288,16,tt,4982496874,252195246,252187267,9874,305,284
65536,16,nt,6434355070,15106,12621,8859,314,289
2048,16,tt,4990933236,1047364561,184977,8229,307,290
7168,16,tt,3569012983,591002083,44369443,8640,312,291
131072,16,nt,6407088212,138751,8937,9530,313,289
3072,16,nt,27069944401,351,110,7785,310,287
8192,16,nt,14815813531,680,139,8338,316,286
32768,16,tt,4968532790,290529529,234164530,8458,309,290
2048,16,nt,27264718261,225,49,8878,314,292
65536,16,tt,4761471639,252189363,235307877,8389,303,278
7168,16,tt,3652652445,591001562,51368364,8824,308,288
131072,16,tt,4967622437,252193966,250056951,7979,312,290
12288,16,tt,5018432826,457035182,179094129,7800,311,292
5120,16,nt,23493460916,1428,1029,8226,313,289
3072,16,tt,5289767959,1031263483,24364097,7643,315,289
5120,16,tt,4536313147,913894433,9973443,7828,326,288
16384,16,nt,9572471448,1140,607,8370,310,293
32768,16,nt,7452602422,5966,5114,9185,301,287
3072,16,nt,27134174435,357,124,9382,299,288
2048,16,tt,4991273717,1047364547,208537,7243,307,286
4096,16,tt,4878712989,1023246849,314085,8115,320,289
65536,16,nt,6431870166,13497,11144,9228,309,291
8192,16,tt,4122261369,577195664,83504158,8658,304,286
524288,16,tt,4989987732,252197707,252192394,9481,307,289
6144,16,tt,4030880074,740309836,27717417,8736,312,293
12288,16,nt,11776594685,1197,606,8380,309,293
4096,16,nt,26711751084,473,83,6930,305,289
262144,16,tt,5002116330,252193939,252183669,9747,326,292
16384,16,tt,4978231610,371673612,206486693,8148,306,287
131072,16,nt,6407854797,158912,15772,8621,306,281
524288,16,nt,6382570255,489545,54646,8479,309,289
7168,16,nt,15207661780,1334,825,7906,320,289
6144,16,nt,18998263579,610,198,8671,327,290
