"prefetch","size","memtyp","temp","app","displaysize","cycles","l3m","l3l"
on,small,wc,t,memory_load_random, 32768KB,8.438.534.325,251.820.141,475.807.214
on,small,wc,t,memory_load_random, 16384KB,6.873.137.235,179.896.063,456.180.666
on,small,wc,t,memory_load_random, 8192KB,3.911.692.718,43.772.006,442.519.124
on,small,wc,t,memory_load_random, 4096KB,2.711.673.183,7.562,468.406.767
on,small,wc,t,memory_load_random, 2048KB,2.630.583.421,2.212,433.020.300
on,small,wc,t,memory_load_random, 1024KB,2.503.422.137,9.167,364.871.632
on,small,wc,t,memory_load_random, 512KB,2.167.678.724,782,233.559.371
on,small,wc,t,memory_load_random, 256KB,1.728.317.027,717,58.959.454
on,small,wc,nt,memory_load_ind, 32768KB,6.981.476.017,219.010.737,430.259.568
on,small,wc,nt,memory_load_ind, 16384KB,6.152.515.399,183.537.492,414.964.230
on,small,wc,nt,memory_load_ind, 8192KB,3.205.016.314,52.218.147,342.529.178
on,small,wc,nt,memory_load_ind, 4096KB,2.460.986.756,1.901.082,364.404.371
on,small,wc,nt,memory_load_ind, 2048KB,2.432.374.524,3.755,365.686.107
on,small,wc,nt,memory_load_ind, 1024KB,2.431.193.708,2.051,365.690.212
on,small,wc,nt,memory_load_ind, 512KB,2.438.634.145,9.767,360.387.497
on,small,wc,nt,memory_load_ind, 256KB,1.770.473.271,577,166.334.002
on,small,wc,nt,memory_load_dep, 32768KB,11.710.363.537,36.126.545,105.679.685
on,small,wc,nt,memory_load_dep, 16384KB,10.916.880.068,30.541.764,67.193.550
on,small,wc,nt,memory_load_dep, 8192KB,8.471.093.848,12.228.028,20.755.991
on,small,wc,nt,memory_load_dep, 4096KB,7.029.368.490,349.155,8.927.987
on,small,wc,nt,memory_load_dep, 2048KB,6.885.242.714,9.975,8.550.909
on,small,wc,nt,memory_load_dep, 1024KB,6.966.100.164,1.596,8.539.807
on,small,wc,nt,memory_load_dep, 512KB,6.962.598.516,1.361,8.573.737
on,small,wc,nt,memory_load_dep, 256KB,6.597.347.550,952,7.178.380
on,small,wc,nt,memory_load_random, 32768KB,8.754.908.977,252.657.044,477.840.772
on,small,wc,nt,memory_load_random, 16384KB,7.002.449.116,180.804.100,455.301.727
on,small,wc,nt,memory_load_random, 8192KB,3.960.984.337,44.394.552,433.601.283
on,small,wc,nt,memory_load_random, 4096KB,2.727.450.622,538.491,467.367.648
on,small,wc,nt,memory_load_random, 2048KB,2.632.710.220,30.406,432.980.090
on,small,wc,nt,memory_load_random, 1024KB,2.476.771.911,1.033,366.209.723
on,small,wc,nt,memory_load_random, 512KB,2.185.358.804,5.093,232.398.040
on,small,wc,nt,memory_load_random, 256KB,1.690.938.754,721,41.426.556
off,huge,wb,t,memory_load_ind, 32768KB,9.698.964.256,437.719.746,528.470.218
off,huge,wb,t,memory_load_ind, 16384KB,7.362.506.974,303.483.257,526.086.606
off,huge,wb,t,memory_load_ind, 8192KB,3.433.271.494,58.268.644,525.397.531
off,huge,wb,t,memory_load_ind, 4096KB,2.508.118.109,114.017,524.350.706
off,huge,wb,t,memory_load_ind, 2048KB,2.504.146.341,5.826,524.317.455
off,huge,wb,t,memory_load_ind, 1024KB,2.502.822.068,3.007,524.316.389
off,huge,wb,t,memory_load_ind, 512KB,2.500.879.742,1.916,524.315.391
off,huge,wb,t,memory_load_ind, 256KB,1.856.639.124,2.232,270.408.385
off,huge,wb,t,memory_load_dep, 32768KB,112.733.463.002,516.127.986,527.059.805
off,huge,wb,t,memory_load_dep, 16384KB,92.736.050.536,402.881.714,526.786.238
off,huge,wb,t,memory_load_dep, 8192KB,40.101.893.088,112.500.546,525.926.948
off,huge,wb,t,memory_load_dep, 4096KB,18.138.545.528,92.916,524.763.942
off,huge,wb,t,memory_load_dep, 2048KB,17.701.526.135,122.723,524.488.071
off,huge,wb,t,memory_load_dep, 1024KB,17.660.414.856,37.585,524.502.710
off,huge,wb,t,memory_load_dep, 512KB,18.050.906.038,8.891,524.547.343
off,huge,wb,t,memory_load_dep, 256KB,12.154.913.045,64.414,262.566.058
off,huge,wb,t,memory_load_random, 32768KB,11.205.151.753,400.712.982,535.643.626
off,huge,wb,t,memory_load_random, 16384KB,8.531.107.271,276.719.931,529.175.399
off,huge,wb,t,memory_load_random, 8192KB,4.045.694.355,52.552.077,517.362.354
off,huge,wb,t,memory_load_random, 4096KB,2.515.728.059,120.374,492.356.296
off,huge,wb,t,memory_load_random, 2048KB,2.444.806.643,3.955,459.488.627
off,huge,wb,t,memory_load_random, 1024KB,2.345.731.518,45.274,394.247.279
off,huge,wb,t,memory_load_random, 512KB,2.067.067.571,1.941,262.319.672
off,huge,wb,t,memory_load_random, 256KB,1.710.032.660,1.959,71.228.906
off,huge,wb,nt,memory_load_ind, 32768KB,9.698.542.924,437.661.822,528.336.043
off,huge,wb,nt,memory_load_ind, 16384KB,7.346.344.359,303.513.579,526.065.247
off,huge,wb,nt,memory_load_ind, 8192KB,3.134.547.712,39.044.537,525.383.272
off,huge,wb,nt,memory_load_ind, 4096KB,2.544.704.838,135.124,524.354.407
off,huge,wb,nt,memory_load_ind, 2048KB,2.505.102.380,127.903,524.318.513
off,huge,wb,nt,memory_load_ind, 1024KB,2.538.896.067,58.621,524.321.308
off,huge,wb,nt,memory_load_ind, 512KB,2.427.152.755,43.018,495.646.752
off,huge,wb,nt,memory_load_ind, 256KB,1.986.072.142,10.969,319.022.569
off,huge,wb,nt,memory_load_dep, 32768KB,112.531.896.699,516.714.642,527.103.164
off,huge,wb,nt,memory_load_dep, 16384KB,93.265.880.191,404.948.138,526.829.391
off,huge,wb,nt,memory_load_dep, 8192KB,42.843.274.279,128.179.331,525.979.044
off,huge,wb,nt,memory_load_dep, 4096KB,18.136.160.766,2.303.967,524.775.612
off,huge,wb,nt,memory_load_dep, 2048KB,17.698.983.139,127.613,524.487.340
off,huge,wb,nt,memory_load_dep, 1024KB,17.672.329.996,76.097,524.502.038
off,huge,wb,nt,memory_load_dep, 512KB,17.638.423.797,35.970,524.530.278
off,huge,wb,nt,memory_load_dep, 256KB,11.949.785.334,77.871,262.485.299
off,huge,wb,nt,memory_load_random, 32768KB,11.214.794.156,403.517.225,535.782.145
off,huge,wb,nt,memory_load_random, 16384KB,8.530.859.397,276.429.953,529.189.084
off,huge,wb,nt,memory_load_random, 8192KB,4.103.392.841,57.279.061,517.495.267
off,huge,wb,nt,memory_load_random, 4096KB,2.517.299.255,108.412,492.327.783
off,huge,wb,nt,memory_load_random, 2048KB,2.477.866.297,82.150,459.566.224
off,huge,wb,nt,memory_load_random, 1024KB,2.318.063.747,42.950,394.340.449
off,huge,wb,nt,memory_load_random, 512KB,2.088.930.514,18.723,262.106.421
off,huge,wb,nt,memory_load_random, 256KB,1.700.948.539,7.028,63.307.591
off,huge,wc,t,memory_load_ind, 32768KB,9.221.968.874,423.708.648,525.541.941
off,huge,wc,t,memory_load_ind, 16384KB,7.180.669.257,292.425.570,525.461.475
off,huge,wc,t,memory_load_ind, 8192KB,3.696.564.353,69.206.401,525.388.088
off,huge,wc,t,memory_load_ind, 4096KB,2.504.305.915,31.930,524.351.081
off,huge,wc,t,memory_load_ind, 2048KB,2.499.669.656,5.792,524.316.959
off,huge,wc,t,memory_load_ind, 1024KB,2.499.427.158,954,524.315.296
off,huge,wc,t,memory_load_ind, 512KB,2.413.156.393,801,491.350.614
off,huge,wc,t,memory_load_ind, 256KB,1.920.360.725,8.165,294.952.207
off,huge,wc,t,memory_load_dep, 32768KB,94.893.744.342,426.048.603,526.774.937
off,huge,wc,t,memory_load_dep, 16384KB,72.313.898.893,296.411.174,526.405.073
off,huge,wc,t,memory_load_dep, 8192KB,32.479.074.459,74.450.037,525.814.954
off,huge,wc,t,memory_load_dep, 4096KB,17.700.045.645,162.519,524.757.175
off,huge,wc,t,memory_load_dep, 2048KB,17.642.442.859,50.604,524.484.237
off,huge,wc,t,memory_load_dep, 1024KB,17.633.973.284,1.996,524.501.326
off,huge,wc,t,memory_load_dep, 512KB,18.029.061.726,27.910,524.541.153
off,huge,wc,t,memory_load_dep, 256KB,12.142.715.273,1.015,270.572.137
off,huge,wc,t,memory_load_random, 32768KB,10.807.803.158,396.361.729,535.772.125
off,huge,wc,t,memory_load_random, 16384KB,8.095.396.208,265.771.787,529.193.702
off,huge,wc,t,memory_load_random, 8192KB,3.970.055.643,53.050.354,517.307.794
off,huge,wc,t,memory_load_random, 4096KB,2.510.184.603,9.027,492.353.174
off,huge,wc,t,memory_load_random, 2048KB,2.475.002.723,2.553,459.545.835
off,huge,wc,t,memory_load_random, 1024KB,2.314.571.988,1.173,394.196.755
off,huge,wc,t,memory_load_random, 512KB,2.064.897.895,760,261.830.475
off,huge,wc,t,memory_load_random, 256KB,1.676.643.560,805,40.138.496
off,huge,wc,nt,memory_load_ind, 32768KB,9.505.043.620,423.922.923,525.538.798
off,huge,wc,nt,memory_load_ind, 16384KB,7.329.546.267,292.393.190,525.460.515
off,huge,wc,nt,memory_load_ind, 8192KB,3.714.730.916,72.051.668,525.387.266
off,huge,wc,nt,memory_load_ind, 4096KB,2.685.167.763,8.861.036,524.353.062
off,huge,wc,nt,memory_load_ind, 2048KB,2.504.762.723,120.529,524.318.403
off,huge,wc,nt,memory_load_ind, 1024KB,2.500.735.488,47.042,524.316.103
off,huge,wc,nt,memory_load_ind, 512KB,2.534.428.881,1.118,524.236.259
off,huge,wc,nt,memory_load_ind, 256KB,1.637.358.689,1.156,188.499.227
off,huge,wc,nt,memory_load_dep, 32768KB,96.615.910.961,429.138.968,526.756.855
off,huge,wc,nt,memory_load_dep, 16384KB,73.293.133.681,295.371.024,526.409.713
off,huge,wc,nt,memory_load_dep, 8192KB,32.432.143.285,75.844.763,525.813.820
off,huge,wc,nt,memory_load_dep, 4096KB,21.125.404.211,18.981.349,524.831.457
off,huge,wc,nt,memory_load_dep, 2048KB,18.109.878.118,175.378,524.502.954
off,huge,wc,nt,memory_load_dep, 1024KB,18.060.563.490,2.959,524.516.432
off,huge,wc,nt,memory_load_dep, 512KB,17.611.536.749,28.444,524.536.782
off,huge,wc,nt,memory_load_dep, 256KB,12.975.476.141,6.204,311.687.280
off,huge,wc,nt,memory_load_random, 32768KB,11.089.315.979,396.555.523,535.789.871
off,huge,wc,nt,memory_load_random, 16384KB,8.256.353.198,265.567.392,529.162.963
off,huge,wc,nt,memory_load_random, 8192KB,4.048.617.180,53.213.910,517.378.697
off,huge,wc,nt,memory_load_random, 4096KB,2.516.241.915,178.174,492.366.838
